"year","zone","ratio"
"2004","S01001790","0.13"
"2005","S01001790","0.13"
"2006","S01001790","0.13"
"2007","S01001790","0.13"
"2008","S01001790","0.13"
"2009","S01001790","0.13"
"2010","S01001790","0.13"
"2011","S01001790","0.13"
"2012","S01001790","0.13"
"2003","S01001790","0.13"
"2004","S01001791","0.29"
"2005","S01001791","0.29"
"2006","S01001791","0.29"
"2007","S01001791","0.3"
"2008","S01001791","0.3"
"2009","S01001791","0.3"
"2010","S01001791","0.3"
"2011","S01001791","0.3"
"2012","S01001791","0.3"
"2003","S01001791","0.29"
"2004","S01001792","21.47"
"2005","S01001792","21.47"
"2006","S01001792","21.47"
"2007","S01001792","21.47"
"2008","S01001792","21.47"
"2009","S01001792","21.47"
"2010","S01001792","21.47"
"2011","S01001792","21.47"
"2012","S01001792","21.47"
"2003","S01001792","21.47"
"2004","S01001793","2.38"
"2005","S01001793","2.38"
"2006","S01001793","2.44"
"2007","S01001793","2.43"
"2008","S01001793","2.53"
"2009","S01001793","2.6"
"2010","S01001793","2.6"
"2011","S01001793","2.6"
"2012","S01001793","2.6"
"2003","S01001793","2.34"
"2004","S01001794","15.28"
"2005","S01001794","15.28"
"2006","S01001794","15.28"
"2007","S01001794","15.28"
"2008","S01001794","15.28"
"2009","S01001794","15.28"
"2010","S01001794","15.28"
"2011","S01001794","15.28"
"2012","S01001794","15.32"
"2003","S01001794","15.32"
"2004","S01001795","0.13"
"2005","S01001795","0.13"
"2006","S01001795","0.13"
"2007","S01001795","0.13"
"2008","S01001795","0.13"
"2009","S01001795","0.13"
"2010","S01001795","0.13"
"2011","S01001795","0.13"
"2012","S01001795","0.13"
"2003","S01001795","0.13"
"2004","S01001796","10.88"
"2005","S01001796","10.88"
"2006","S01001796","10.91"
"2007","S01001796","10.94"
"2008","S01001796","10.52"
"2009","S01001796","10.52"
"2010","S01001796","10.52"
"2011","S01001796","10.52"
"2012","S01001796","10.52"
"2003","S01001796","10.88"
"2004","S01001797","23.03"
"2005","S01001797","23.03"
"2006","S01001797","23.1"
"2007","S01001797","23.1"
"2008","S01001797","23.1"
"2009","S01001797","23.1"
"2010","S01001797","23.1"
"2011","S01001797","23.1"
"2012","S01001797","23.1"
"2003","S01001797","23.03"
"2004","S01001798","5.88"
"2005","S01001798","5.88"
"2006","S01001798","5.88"
"2007","S01001798","5.86"
"2008","S01001798","5.88"
"2009","S01001798","5.88"
"2010","S01001798","5.88"
"2011","S01001798","5.88"
"2012","S01001798","5.88"
"2003","S01001798","5.88"
"2004","S01001799","12.93"
"2005","S01001799","13.51"
"2006","S01001799","14.09"
"2007","S01001799","14.39"
"2008","S01001799","14.09"
"2009","S01001799","14.24"
"2010","S01001799","14.24"
"2011","S01001799","14.24"
"2012","S01001799","14.24"
"2003","S01001799","12.58"
"2004","S01001800","21.17"
"2005","S01001800","21.17"
"2006","S01001800","21.17"
"2007","S01001800","21.11"
"2008","S01001800","21.17"
"2009","S01001800","21.17"
"2010","S01001800","21.17"
"2011","S01001800","21.17"
"2012","S01001800","21.17"
"2003","S01001800","21.17"
"2004","S01001801","0.3"
"2005","S01001801","0.32"
"2006","S01001801","0.33"
"2007","S01001801","0.32"
"2008","S01001801","0.32"
"2009","S01001801","0.32"
"2010","S01001801","0.32"
"2011","S01001801","0.32"
"2012","S01001801","0.33"
"2003","S01001801","0.27"
"2004","S01001802","12.89"
"2005","S01001802","13.2"
"2006","S01001802","13.2"
"2007","S01001802","13.2"
"2008","S01001802","13.2"
"2009","S01001802","13.46"
"2010","S01001802","13.62"
"2011","S01001802","13.62"
"2012","S01001802","13.62"
"2003","S01001802","10.67"
"2004","S01001803","9.58"
"2005","S01001803","9.58"
"2006","S01001803","9.58"
"2007","S01001803","9.58"
"2008","S01001803","9.58"
"2009","S01001803","9.58"
"2010","S01001803","9.58"
"2011","S01001803","9.58"
"2012","S01001803","9.58"
"2003","S01001803","10.82"
"2004","S01001804","0.82"
"2005","S01001804","0.83"
"2006","S01001804","0.83"
"2007","S01001804","0.82"
"2008","S01001804","0.82"
"2009","S01001804","0.82"
"2010","S01001804","0.82"
"2011","S01001804","0.81"
"2012","S01001804","0.82"
"2003","S01001804","0.79"
"2004","S01001805","14.81"
"2005","S01001805","14.81"
"2006","S01001805","14.81"
"2007","S01001805","14.81"
"2008","S01001805","14.81"
"2009","S01001805","14.81"
"2010","S01001805","14.81"
"2011","S01001805","14.81"
"2012","S01001805","14.81"
"2003","S01001805","14.81"
"2004","S01001806","6.93"
"2005","S01001806","6.93"
"2006","S01001806","6.93"
"2007","S01001806","6.95"
"2008","S01001806","7.35"
"2009","S01001806","7.38"
"2010","S01001806","7.38"
"2011","S01001806","7.43"
"2012","S01001806","7.43"
"2003","S01001806","6.93"
